Player,Nation,Pos,Squad,Comp,Age,MP,Min,TklW,Int,Clr,Blocks,Carries,PrgDist,FinalThird,Ast,KP,CrsPA
Justin Devenny,nir NIR,"MF,FW",Crystal Palace,eng Premier League,22-214,20,706,11,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Tidiane Devernois,fr FRA,MF,Auxerre,fr Ligue 1,18-207,2,10,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Kiernan Dewsbury-Hall,eng ENG,MF,Everton,eng Premier League,27-249,29,2453,24,14,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,28-290,29,2565,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Giovanni Di Lorenzo,it ITA,"DF,MF",Napoli,it Serie A,32-282,24,2099,26,9,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Alessandro Di Pardo,it ITA,"DF,MF",Cagliari,it Serie A,26-299,3,54,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Boulaye Dia,sn SEN,"FW,MF",Lazio,it Serie A,29-178,25,1162,7,3,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Ibrahim Diabaté,ci CIV,FW,Alavés,es La Liga,26-177,7,441,0,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Bambo Diaby,sn SEN,DF,Elche,es La Liga,28-147,4,102,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,29-145,8,543,6,9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Bafodé Diakité,fr FRA,DF,Bournemouth,eng Premier League,25-127,18,1277,15,10,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Amad Diallo,ci CIV,MF,Manchester Utd,eng Premier League,23-306,30,2161,22,13,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Habib Diallo,sn SEN,FW,Metz,fr Ligue 1,30-329,25,1909,5,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Zoumana Diallo,fr FRA,FW,Nice,fr Ligue 1,21-100,1,10,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Grady Diangana,cd COD,"MF,FW",Elche,es La Liga,28-024,19,843,5,4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Assane Diao,sn SEN,MF,Como,it Serie A,20-248,15,903,5,4,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Soriba Diaoune,fr FRA,MF,Lille,fr Ligue 1,18-272,10,185,2,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Habib Diarra,sn SEN,MF,Sunderland,eng Premier League,22-130,18,1361,7,4,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Moussa Diarra,ml MLI,DF,Alavés,es La Liga,25-184,3,216,2,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Rúben Dias,pt POR,DF,Manchester City,eng Premier League,28-364,25,2051,6,22,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Bane Diatta,fr FRA,MF,Angers,fr Ligue 1,17-320,1,5,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Krépin Diatta,sn SEN,"MF,DF",Monaco,fr Ligue 1,27-077,18,1013,16,15,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Mory Diaw,sn SEN,GK,Le Havre,fr Ligue 1,32-325,29,2565,0,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Brahim Díaz,ma MAR,"MF,FW",Real Madrid,es La Liga,26-283,27,1088,10,2,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
Daniel Díaz,es ESP,FW,Real Sociedad,es La Liga,19-325,1,18,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Julio Diaz,es ESP,DF,Atlético Madrid,es La Liga,21-123,4,310,3,4,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
